GuideUID	TargetGene	Cell	Type	log2FC.D7	log2FC.D14
UID_033002	AQR	HAP1	SM	-0.281374869938124	-0.318704598445078
UID_033003	AQR	HAP1	SM	0.111484964524916	-0.123589726443205
UID_033004	AQR	HAP1	SM	-2.62072861601038	-2.90547850727191
UID_033009	RPS5	HAP1	PM	-4.27788929276242	-4.02441253808813
UID_033010	RPS5	HAP1	SM	-0.0174726363848621	-0.0642797009342562
UID_033012	RPS5	HAP1	SM	-2.62165727373695	-3.12282082800224
UID_033013	RPS5	HAP1	SM	-4.54219247857904	-4.80142414340604
UID_033014	RPS5	HAP1	SM	-4.94310626595674	-5.37187096004608
UID_033015	RPS5	HAP1	SM	-1.17813382233701	-1.25648105965264
UID_033016	RPS5	HAP1	SM	-3.42076133730679	-3.72856079310109
UID_033017	RPS5	HAP1	SM	-4.83623888101932	-5.33253794402375
UID_033018	RPS5	HAP1	SM	-4.49792000060212	-4.72308676770076
UID_033019	RPS5	HAP1	SM	-4.76463941649946	-4.84976413774662
UID_033020	RPS5	HAP1	PM	-3.2573092562813	-3.01594821341715
UID_033021	RPS5	HAP1	SM	0.0823215917986334	0.0706944404430385
UID_033022	RPS5	HAP1	SM	-2.84832984024158	-2.85587744372042
UID_033023	RPS5	HAP1	SM	-3.02929610201532	-3.34584735504827
UID_033024	RPS5	HAP1	SM	-3.23872539918366	-3.09743139419084
UID_033025	RPS5	HAP1	SM	-3.05440663130928	-2.60993827827245
UID_033026	RPS5	HAP1	SM	-0.039505055556303	-0.0618333692149755
UID_033027	RPS5	HAP1	SM	-1.6319832675216	-2.0416677194419
UID_033028	RPS5	HAP1	SM	-3.22664910439039	-3.2853092853278
UID_033029	RPS5	HAP1	SM	-2.73616089774031	-2.95551515102543
UID_033030	RPS5	HAP1	SM	-3.37472391413819	-3.55918764201615
UID_033031	RPS5	HAP1	PM	-2.92051246706211	-2.60060607307102
UID_033032	RPS5	HAP1	SM	-0.030374981355936	0.107083688642208
UID_033033	RPS5	HAP1	SM	-0.0579973006584903	0.0110156210756625
UID_033034	RPS5	HAP1	SM	-1.32685689177378	-1.67155436125304
UID_033035	RPS5	HAP1	SM	-2.09822048694123	-2.7556815772579
UID_033036	RPS5	HAP1	SM	-1.88986561227316	-2.35398997573681
UID_033037	RPS5	HAP1	SM	-0.14642502853342	-0.0865608093895543
UID_033038	RPS5	HAP1	SM	-0.213134620522374	-0.423658434164934
UID_033039	RPS5	HAP1	SM	0.132079315094346	0.147641357204382
UID_033040	RPS5	HAP1	SM	-1.4300857773452	-1.6538223509531
UID_033041	RPS5	HAP1	SM	-2.56778460506316	-2.68304763567277
UID_033042	RPS5	HAP1	PM	-4.15177774279035	-3.37351510528475
UID_033043	RPS5	HAP1	SM	0.0448312192697793	0.0862817172450043
UID_033044	RPS5	HAP1	SM	-0.0645857746489872	0.00608230105508976
UID_033045	RPS5	HAP1	SM	-2.97633694472857	-2.75358941070448
UID_033046	RPS5	HAP1	SM	-2.6580023631843	-2.93034687738255
UID_033047	RPS5	HAP1	SM	-3.67706450059468	-4.20891970236489
UID_033048	RPS5	HAP1	SM	0.0583619461898405	0.064444745301678
UID_033049	RPS5	HAP1	SM	-0.667575830537646	-0.817763127901413
UID_033050	RPS5	HAP1	SM	-2.47500848075029	-2.46619288562784
UID_033051	RPS5	HAP1	SM	-2.18050024939977	-2.12707310569217
UID_033052	RPS5	HAP1	SM	-2.8842822551103	-3.05726278253778
UID_033057	RRN3	HAP1	PM	-1.31447168446399	-1.87187212129146
UID_033058	RRN3	HAP1	SM	0.124346960757788	0.271437495084536
UID_033059	RRN3	HAP1	SM	-0.221892922816659	-0.0759315846750927
UID_033060	RRN3	HAP1	SM	0.189855844150914	-0.0596733452641986
UID_033061	RRN3	HAP1	SM	0.160717432127537	0.111222244983654
UID_033062	RRN3	HAP1	SM	0.063100400621557	0.0730046553630774
UID_033063	RRN3	HAP1	SM	0.0312911573707235	-0.013898186238578
UID_033064	RRN3	HAP1	SM	0.142371327753884	0.0764535428832198
UID_033065	RRN3	HAP1	SM	-0.0417716632053867	-0.00857415616098125
UID_033066	RRN3	HAP1	SM	-0.328628489113833	-0.627205342420724
UID_033067	RRN3	HAP1	SM	-1.43455326929231	-1.96080751795502
UID_033068	RRN3	HAP1	PM	-1.40755330332216	-1.357064293546
UID_033069	RRN3	HAP1	SM	-0.100827973180645	-0.0786936379308571
UID_033070	RRN3	HAP1	SM	-0.120260091424575	-0.00556165699576925
